depth,Total 210Pb_activity (Bq/kg),Error Total 210Pb_activity (Bq/kg),Sed. Rate (cm/y),Error Sed. Rate (cm/y),Year (CRS),Age (CRS),Error (CRS)
0,,,,,2021.68,0,0
0.25,572.38,39.95,0.0359,0.003,2015.39,6.3,0.68
0.75,644.69,39.98,0.019,0.0016,1996.48,25.21,1.89
1.25,349.79,39.32,0.0132,0.0018,1964.31,57.37,3.69
1.75,134.27,26.42,0.0083,0.0022,1914.07,107.62,8.93
2.25,49.33,30.59,,,,,
3.25,33.46,27.73,,,,,
4.25,11.65,24.47,,,,,
5.25,11.38,34.14,,,,,
6.25,43.32,33.17,,,,,
7.25,9.82,36.59,,,,,
8.25,13.86,36.04,,,,,
9.25,30.25,38.79,,,,,
10.25,30.84,34.31,,,,,
11.25,8.87,28.84,,,,,
18.25,2.49,33.14,,,,,
