midpoint,chla,Al,P,Zn,Cd,d15N,d13C,S.cons,S.exi
0.125,0.145270351,,,,,,,99.36170213,0
0.375,0.137215245,9700,8700,100,2,,,,
0.625,0.114581613,,,,,10.91,-27.05,,
0.875,0.125933135,,,,,,,,
1.125,0.10597335,,,,,,,98.9626556,0.829875519
1.375,0.095384889,12000,8600,140,2.6,,,,
1.625,0.098482268,,,,,10.52,-27.24,,
1.875,0.101783636,,,,,,,,
2.125,0.11823101,,,,,,,98.43400447,1.342281879
2.375,0.113150233,11000,9100,140,2.6,,,,
2.625,0.127812676,,,,,10.97,-26.65,,
2.875,0.122760865,,,,,,,,
3.125,0.10051457,,,,,,,99.5584989,0
3.375,0.110048778,12000,9400,140,2.5,,,,
3.625,0.095809123,,,,,10.81,-26.68,,
3.875,0.078333919,,,,,,,,
4.125,0.089725407,,,,,,,96.98681733,1.506591337
4.375,0.092749386,12000,9300,140,2.4,,,,
4.625,0.063825771,,,,,9.88,-26.87,,
4.875,0.066423368,,,,,,,,
5.125,0.057837761,,,,,,,99.19224556,0
5.375,0.038124295,7600,1900,70,0.69,,,,
5.625,0.021130601,,,,,6.6,-27.14,,
5.875,0.018618849,,,,,,,,
6.125,0.019621569,,,,,,,91.92825112,7.623318386
6.375,0.012173345,7500,1900,57,0.61,,,,
6.625,0.011422115,,,,,2.03,-26.84,,
6.875,0.012290873,,,,,,,,
7.125,0.009889201,,,,,,,67.32673267,30.44554455
7.375,0.010313611,8300,1900,46,0.55,,,,
7.625,0.008518601,,,,,1.56,-26.63,,
7.875,0.008423684,,,,,,,,
8.125,0.008307514,,,,,,,48.26789838,45.72748268
8.375,0.008086348,7700,1500,28,0.39,,,,
8.625,0.007920309,,,,,1.31,-26.66,,
8.875,0.008470573,,,,,,,,
9.125,0.009500857,,,,,1.1,-26.57,63.57466063,34.61538462
9.375,0.008822984,8200,1500,27,0.42,,,,
9.625,0.008322194,,,,,,,,
9.875,0.007737618,,,,,,,,
10.125,0.009139681,,,,,1.19,-26.66,38.18181818,60.77922078
10.375,0.008866411,7300,1000,22,0.36,,,,
10.625,0.009233503,,,,,,,,
10.875,0.009553048,,,,,,,,
11.125,0.008989856,,,,,0.63,-26.51,48.8700565,51.1299435
11.375,0.00830988,6500,970,17,0.34,,,,
11.625,0.007843139,,,,,,,,
11.875,0.008911591,,,,,,,,
12.125,0.006402951,,,,,0.59,-26.53,36.99059561,62.69592476
12.375,0.007844279,4500,700,11,0.25,,,,
12.625,0.006342522,,,,,,,,
12.875,0.00582727,,,,,,,,
13.125,0.004688441,,,,,1.02,-26.76,38.56041131,59.89717224
13.375,0.005974773,3900,590,8.8,0.23,,,,
13.625,0.006078542,,,,,,,,
13.875,0.005798085,,,,,,,,
14.125,0.005294491,,,,,0.88,-26.9,26.83615819,71.18644068
14.375,0.006329112,3800,560,7.4,0.16,,,,
14.625,0.005333492,,,,,,,,
14.875,0.005979681,,,,,,,,
15.25,0.00732149,,,,,0.16,-26.75,26.39296188,71.5542522
15.75,0.005624772,,,,,,,,
16.25,0.005426568,,,,,0.79,-26.85,93.33333333,4.761904762
16.75,0.004616399,,,,,,,,
17.25,0.005131782,,,,,1.46,-27.29,,
17.75,0.006898658,,,,,,,,
18.25,0.006522627,,,,,1.36,-26.71,,
18.75,0.005801503,,,,,,,,
19.25,0.006620656,,,,,1.81,-27.27,,
19.75,0.004970344,,,,,,,,
20.25,0.005253386,,,,,1.49,-26.56,,
20.75,0.005709259,,,,,,,,
21.25,0.005876788,,,,,1.81,-27.24,,
21.75,0.005570214,,,,,,,,
22.25,0.005648216,,,,,0.2,-26.37,,
22.75,0.005321178,,,,,,,,
23.25,0.005717279,,,,,1.15,-27.29,,
23.75,0.004890984,,,,,,,,
24.25,0.004610089,,,,,1.05,-27.25,,
24.75,0.004503866,,,,,,,,
25.25,0.004808118,,,,,1.22,-27.28,,
25.75,0.004901238,,,,,,,,
